recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
Venison or deer with tomato-based sauce,Quantity not specified,187.0,9.0,1.59,3.78,2.84,24.0,25.64,347.0,6.0,2.0,0.0,2.9733000000000005,47.9468,5.3107999999999995,16.83,7.0686,44.88,648.89,3.74,0.0,11.22
"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Quantity not specified,311.0,14.0,14.75,1.67,5.11,21.0,7.47,305.0,11.0,2.5,0.0,45.8725,23.2317,15.892100000000001,43.54,5.1937,65.31,948.55,7.775,0.0,34.21
"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",1 cup,249.0,16.0,13.64,1.67,5.11,19.0,7.43,311.0,87.0,5.6,0.0,33.9636,18.5007,12.7239,39.84,4.1583,47.31,774.39,13.943999999999999,0.0,216.63
"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Quantity not specified,189.0,11.0,12.31,0.92,6.1,17.0,6.01,312.0,3.0,3.9,0.0,23.265900000000002,11.358899999999998,11.528999999999998,20.79,1.7388,32.13,589.68,7.371,0.0,5.67
"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Quantity not specified,189.0,13.0,11.17,0.92,6.5,15.0,5.95,317.0,78.0,6.9,0.0,21.1113,11.2455,12.285,24.57,1.7388,28.35,599.13,13.041000000000002,0.0,147.42
Venison sausage,1 patty,35.0,17.0,0.0,2.43,25.08,19.0,20.23,829.0,7.0,0.0,0.5,0.0,7.080500000000001,8.777999999999999,5.95,0.8505000000000001,6.65,290.15,0.0,0.175,2.45
"Venison, NFS",1 cup,135.0,10.0,0.0,3.69,5.26,27.0,28.1,374.0,0.0,0.0,0.0,0.0,37.935,7.101,13.5,4.9815,36.45,504.9,0.0,0.0,0.0
"Venison, steak",Quantity not specified,85.0,6.0,0.0,4.06,2.36,30.0,29.96,364.0,0.0,0.0,0.0,0.0,25.465999999999998,2.006,5.1,3.4509999999999996,25.5,309.4,0.0,0.0,0.0
Venison/deer jerky,"1 strip or stick (4"" long)",14.0,18.0,14.72,4.32,22.41,26.0,32.2,2955.0,0.0,0.0,0.3,2.0608,4.508000000000001,3.1374,2.52,0.6048,3.64,413.7,0.0,0.042,0.0
"Vermicelli, made from soybeans",1 cup,140.0,22.0,31.42,0.52,0.04,1.0,0.04,3.0,1.0,0.0,0.0,43.988,0.05600000000000001,0.05600000000000001,30.8,0.728,1.4,4.2,0.0,0.0,1.4
"Vienna sausage, canned",Quantity not specified,60.0,10.0,2.6,0.88,19.4,7.0,10.5,879.0,0.0,0.0,0.6,1.56,6.3,11.64,6.0,0.528,4.2,527.4,0.0,0.36,0.0
"Vienna sausages stewed with potatoes, Puerto Rican style",Quantity not specified,131.0,16.0,13.06,0.99,16.36,20.0,5.08,466.0,5.0,16.2,0.2,17.108600000000003,6.6548,21.4316,20.96,1.2969,26.2,610.46,21.221999999999998,0.262,6.55
Vinegar,Quantity not specified,30.0,7.0,0.93,0.2,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.279,0.0,0.0,2.1,0.06,1.5,1.5,0.0,0.0,0.0
Vodka,1 shot,42.0,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.0,0.42,0.0,0.0,0.0
Vodka and cola,1 drink,225.0,1.0,7.8,0.02,0.19,0.0,0.0,3.0,0.0,0.0,0.0,17.55,0.0,0.4275,2.25,0.045,0.0,6.75,0.0,0.0,0.0
Vodka and diet cola,1 drink,225.0,2.0,0.22,0.09,0.02,1.0,0.08,6.0,0.0,0.0,0.0,0.495,0.18,0.045,4.5,0.2025,2.25,13.5,0.0,0.0,0.0
Vodka and energy drink,Quantity not specified,225.0,5.0,7.7,0.06,0.0,14.0,0.35,30.0,0.0,0.0,0.0,17.325,0.7875,0.0,11.25,0.135,31.5,67.5,0.0,0.0,0.0
Vodka and lemonade,1 drink,225.0,1.0,9.02,0.01,0.0,1.0,0.0,5.0,0.0,2.3,0.0,20.295,0.0,0.0,2.25,0.0225,2.25,11.25,5.175,0.0,0.0
Vodka and soda,Quantity not specified,225.0,4.0,0.0,0.02,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.045,2.25,36.0,0.0,0.0,0.0
Vodka and tonic,1 fl oz,30.0,1.0,6.57,0.02,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.9710000000000003,0.0,0.0,0.3,0.006,0.0,2.7,0.0,0.0,0.0
Vodka and water,1 fl oz,30.0,2.0,0.0,0.01,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.003,0.3,0.9,0.0,0.0,0.0
Vodka sauce with tomatoes and cream,1 cup,260.0,29.0,3.56,0.58,6.57,10.0,1.15,247.0,60.0,7.8,0.2,9.256,2.99,17.082,75.4,1.5079999999999998,26.0,642.2,20.28,0.52,156.0
"Waffle, NFS",1 thick / Belgian waffle,135.0,299.0,48.39,6.59,9.49,22.0,7.42,460.0,438.0,0.0,0.0,65.3265,10.017000000000001,12.8115,403.65,8.8965,29.7,621.0,0.0,0.0,591.3
"Waffle, chocolate",1 surface inch,2.5,247.0,48.64,1.99,22.7,34.0,9.07,517.0,89.0,0.0,0.9,1.216,0.22675,0.5675,6.175,0.049749999999999996,0.85,12.925,0.0,0.0225,2.225
"Waffle, chocolate, fast food / restaurant",1 thick / Belgian waffle,135.0,234.0,46.1,1.89,28.86,33.0,8.59,541.0,84.0,0.0,0.9,62.235,11.5965,38.961,315.9,2.5515,44.55,730.35,0.0,1.215,113.4
"Waffle, chocolate, frozen",1 pouch,65.0,294.0,48.94,6.38,10.5,24.0,7.43,441.0,419.0,0.0,0.0,31.811,4.8294999999999995,6.825,191.1,4.147,15.6,286.65,0.0,0.0,272.35
"Waffle, cinnamon",1 surface inch,2.5,245.0,41.67,1.74,18.78,24.0,8.7,596.0,90.0,0.1,1.1,1.0417500000000002,0.2175,0.46950000000000003,6.125,0.0435,0.6,14.9,0.0025,0.0275,2.25
"Waffle, fruit","1 surface inch, Belgian waffle",3.7,192.0,36.25,1.4,14.92,20.0,6.94,467.0,71.0,0.7,0.9,1.34125,0.25678000000000006,0.55204,7.104000000000001,0.0518,0.74,17.279,0.0259,0.0333,2.627
"Waffle, fruit, fast food / restaurant",1 small waffle,40.0,182.0,34.47,1.34,21.09,19.0,6.6,492.0,68.0,0.6,0.8,13.788,2.64,8.436,72.8,0.536,7.6,196.8,0.24,0.32,27.2
"Waffle, fruit, frozen",1 stick,35.0,284.0,46.58,6.27,9.05,21.0,7.07,437.0,416.0,0.1,0.0,16.303,2.4745000000000004,3.1675,99.4,2.1944999999999997,7.35,152.95,0.035,0.0,145.6
"Waffle, gluten free",Quantity not specified,75.0,40.0,43.05,0.63,8.84,31.0,2.72,505.0,0.0,0.0,0.0,32.2875,2.0400000000000005,6.63,30.0,0.4725,23.25,378.75,0.0,0.0,0.0
"Waffle, plain",1 thick / Belgian waffle,135.0,242.0,41.5,1.72,18.82,23.0,8.7,597.0,90.0,0.0,1.1,56.025,11.745,25.406999999999996,326.7,2.322,31.05,805.95,0.0,1.485,121.5
"Waffle, plain, fast food / restaurant",1 small waffle,40.0,227.0,38.92,1.62,26.36,22.0,8.16,620.0,85.0,0.0,1.1,15.568000000000001,3.264,10.544,90.8,0.6480000000000001,8.8,248.0,0.0,0.44,34.0
"Waffle, plain, frozen",1 miniature/bite size waffle,10.0,299.0,48.39,6.59,9.49,22.0,7.42,460.0,438.0,0.0,0.0,4.8389999999999995,0.742,0.9490000000000001,29.9,0.659,2.2,46.0,0.0,0.0,43.8
"Waffle, plain, reduced fat",Quantity not specified,80.0,106.0,46.75,3.31,7.35,25.0,9.72,505.0,59.0,0.1,1.0,37.4,7.776,5.88,84.8,2.648,20.0,404.0,0.08,0.8,47.2
"Waffle, school",Quantity not specified,80.0,143.0,49.16,6.43,3.57,65.0,7.14,557.0,155.0,0.0,0.0,39.327999999999996,5.712,2.856,114.4,5.144,52.0,445.6,0.0,0.0,124.0
"Waffle, whole grain",1 small waffle,40.0,162.0,38.61,3.71,19.21,50.0,9.23,847.0,93.0,0.0,1.2,15.444,3.6920000000000006,7.684000000000001,64.8,1.484,20.0,338.8,0.0,0.48,37.2
"Waffle, whole grain, fast food / restaurant",1 medium waffle,75.0,151.0,36.15,3.49,26.94,46.0,8.64,855.0,87.0,0.0,1.1,27.1125,6.48,20.205,113.25,2.6175,34.5,641.25,0.0,0.825,65.25
"Waffle, whole grain, frozen",Quantity not specified,80.0,136.0,46.7,6.12,8.39,62.0,6.78,529.0,140.0,0.0,0.0,37.36,5.4239999999999995,6.712000000000001,108.8,4.896,49.6,423.2,0.0,0.0,112.0
"Waffle, whole grain, fruit, frozen",Quantity not specified,80.0,130.0,45.06,5.83,8.02,59.0,6.48,504.0,133.0,0.1,0.0,36.048,5.184000000000001,6.4159999999999995,104.0,4.664,47.2,403.2,0.08,0.0,106.4
"Waffle, whole grain, reduced fat",1 pouch,65.0,143.0,49.16,6.43,3.57,65.0,7.14,557.0,147.0,0.0,0.0,31.953999999999997,4.641,2.3205,92.95,4.1795,42.25,362.05,0.0,0.0,95.55
Walnut oil,1 cup,224.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Walnuts, excluding honey roasted",1 cup,120.0,88.0,10.91,2.24,69.74,142.0,14.56,0.0,1.0,1.3,0.0,13.092,17.472,83.68799999999999,105.6,2.688,170.4,0.0,1.56,0.0,1.2
"Walnuts, honey roasted",1 oz,28.35,60.0,29.04,1.54,56.92,96.0,9.8,383.0,1.0,0.9,0.0,8.23284,2.7783,16.13682,17.01,0.43659000000000003,27.216000000000005,108.58050000000001,0.25515,0.0,0.28350000000000003
Wasabi paste,1 tablespoon,16.0,41.0,46.13,0.5,10.9,21.0,2.23,3390.0,0.0,0.0,0.0,7.380800000000001,0.3568,1.744,6.56,0.08,3.36,542.4,0.0,0.0,0.0
Wasabi peas,1 cup,120.0,123.0,62.2,3.8,14.11,102.0,14.11,300.0,77.0,0.0,0.0,74.64,16.932,16.932,147.6,4.56,122.4,360.0,0.0,0.0,92.4
Water Chesnut,Quantity not specified,79.0,6.0,19.22,1.36,0.09,8.0,1.38,12.0,0.0,2.0,0.0,15.183799999999998,1.0902,0.0711,4.74,1.0744,6.32,9.48,1.58,0.0,0.0
"Water beverage, fruit flavored",Quantity not specified,180.0,17.0,4.5,0.0,0.0,3.0,0.0,8.0,32.0,12.7,0.0,8.1,0.0,0.0,30.6,0.0,5.4,14.4,22.86,0.0,57.6
"Water, NFS",Quantity not specified,360.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,7.2,10.8,0.0,0.0,0.0
"Water, baby",1 cup,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water, bottled, plain",1 fl oz,30.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.0,0.0,0.0
"Water, carbonated, flavored",Quantity not specified,480.0,4.0,0.0,0.04,0.0,1.0,0.1,6.0,0.0,0.0,0.0,0.0,0.48,0.0,19.2,0.192,4.8,28.8,0.0,0.0,0.0
"Water, carbonated, plain",1 fl oz,30.0,5.0,0.0,0.01,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.003,0.3,6.3,0.0,0.0,0.0
"Water, enhanced, diet",1 bottle (20 fl oz),600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.2,0.0,0.0
"Water, enhanced, regular",Quantity not specified,480.0,17.0,5.49,0.0,0.0,3.0,0.0,0.0,32.0,12.7,0.0,26.352000000000004,0.0,0.0,81.6,0.0,14.4,0.0,60.96,0.0,153.6
"Water, non-carbonated, flavored",1 cup,240.0,1.0,0.13,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.31200000000000006,0.0,0.0,2.4,0.0,0.0,33.6,0.0,0.0,0.0
"Water, tap",1 cup ice,110.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,1.1,4.4,0.0,0.0,0.0
"Water, tonic",Quantity not specified,480.0,1.0,8.8,0.01,0.0,0.0,0.0,12.0,0.0,0.0,0.0,42.24,0.0,0.0,4.8,0.048,0.0,57.6,0.0,0.0,0.0
"Watercress, cooked",Quantity not specified,71.0,125.0,1.35,0.21,2.84,22.0,2.4,173.0,170.0,31.3,0.0,0.9585000000000001,1.704,2.0164,88.75,0.1491,15.62,122.83,22.223000000000003,0.0,120.7
"Watercress, raw",1 cup,34.0,120.0,1.29,0.2,0.1,21.0,2.3,41.0,160.0,43.0,0.0,0.4386,0.7819999999999999,0.034,40.8,0.068,7.14,13.94,14.62,0.0,54.4
"Watermelon juice, 100%",Quantity not specified,240.0,7.0,7.55,0.24,0.15,10.0,0.61,1.0,28.0,8.1,0.0,18.12,1.464,0.36,16.8,0.576,24.0,2.4,19.44,0.0,67.2
"Watermelon, raw",Quantity not specified,78.0,7.0,7.55,0.24,0.15,10.0,0.61,1.0,28.0,8.1,0.0,5.888999999999999,0.4758,0.11699999999999999,5.46,0.18719999999999998,7.8,0.78,6.318,0.0,21.84
Welsh rarebit,1 tablespoon,15.0,241.0,6.32,0.16,12.26,16.0,7.5,280.0,149.0,0.1,1.2,0.9480000000000001,1.125,1.839,36.15,0.024,2.4,42.0,0.015,0.18,22.35
Wheat bran,1 cup,60.0,73.0,64.51,10.57,4.25,611.0,15.55,2.0,0.0,0.0,0.0,38.706,9.33,2.55,43.8,6.3420000000000005,366.6,1.2,0.0,0.0,0.0
"Wheat cereal, chocolate flavored, cooked","1 cup, dry, yields",705.0,11.0,10.96,0.63,0.47,25.0,1.79,337.0,0.0,0.0,0.0,77.268,12.6195,3.3134999999999994,77.55,4.4415,176.25,2375.85,0.0,0.0,0.0
Wheat germ,Quantity not specified,15.0,45.0,49.6,9.09,10.7,320.0,29.1,4.0,5.0,6.0,0.0,7.44,4.365,1.605,6.75,1.3635,48.0,0.6,0.9,0.0,0.75
Wheat germ oil,1 tablespoon,14.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Whey, sweet, dry",Quantity not specified,8.0,796.0,74.46,0.88,1.07,176.0,12.93,1079.0,8.0,1.5,0.0,5.956799999999999,1.0344,0.08560000000000001,63.68,0.0704,14.08,86.32,0.12,0.0,0.64
Whipped topping,1 cup,75.0,6.0,23.05,0.12,25.31,2.0,1.25,25.0,7.0,0.0,0.0,17.2875,0.9375,18.9825,4.5,0.09,1.5,18.75,0.0,0.0,5.25
"Whipped topping, fat free",1 cup,75.0,71.0,23.6,0.1,13.1,7.0,3.0,72.0,4.0,0.0,0.0,17.7,2.25,9.825,53.25,0.075,5.25,54.0,0.0,0.0,3.0
"Whipped topping, sugar free",1 cup,75.0,71.0,23.6,0.1,13.1,7.0,3.0,72.0,4.0,0.0,0.0,17.7,2.25,9.825,53.25,0.075,5.25,54.0,0.0,0.0,3.0
Whiskey,1 fl oz (no ice),28.0,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011200000000000002,0.0,0.28,0.0,0.0,0.0
Whiskey and cola,1 drink,225.0,1.0,7.8,0.02,0.19,0.0,0.0,3.0,0.0,0.0,0.0,17.55,0.0,0.4275,2.25,0.045,0.0,6.75,0.0,0.0,0.0
Whiskey and diet cola,Quantity not specified,225.0,2.0,0.22,0.09,0.02,1.0,0.08,6.0,0.0,0.0,0.0,0.495,0.18,0.045,4.5,0.2025,2.25,13.5,0.0,0.0,0.0
Whiskey and ginger ale,Quantity not specified,225.0,2.0,6.59,0.14,0.0,1.0,0.0,6.0,0.0,0.0,0.0,14.8275,0.0,0.0,4.5,0.31500000000000006,2.25,13.5,0.0,0.0,0.0
Whiskey and soda,1 fl oz,30.0,4.0,0.0,0.02,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.006,0.3,4.8,0.0,0.0,0.0
Whiskey and water,1 drink,225.0,2.0,0.0,0.01,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0225,2.25,6.75,0.0,0.0,0.0
Whiskey sour,1 drink,225.0,2.0,16.11,0.09,0.08,1.0,0.08,77.0,0.0,2.0,0.0,36.2475,0.18,0.18,4.5,0.2025,2.25,173.25,4.5,0.0,0.0
White Russian,1 fl oz,30.0,73.0,11.17,0.05,7.9,7.0,2.15,43.0,66.0,0.6,0.0,3.3510000000000004,0.645,2.37,21.9,0.015,2.1,12.9,0.18,0.0,19.8
"White beans, NFS",Quantity not specified,92.0,84.0,23.32,3.45,6.83,59.0,9.04,221.0,0.0,0.0,0.0,21.4544,8.316799999999999,6.2836,77.28,3.1740000000000004,54.28,203.32,0.0,0.0,0.0
"White beans, from canned, fat added",Quantity not specified,92.0,75.0,29.76,2.23,6.06,72.0,10.43,333.0,0.0,1.7,0.0,27.3792,9.5956,5.5752,69.0,2.0516,66.24,306.36,1.564,0.0,0.0
"White beans, from canned, no added fat",1 cup,180.0,78.0,30.91,2.31,0.57,75.0,10.84,345.0,0.0,1.8,0.0,55.638000000000005,19.512,1.026,140.4,4.158,135.0,621.0,3.24,0.0,0.0
"White beans, from canned, reduced sodium",Quantity not specified,92.0,75.0,29.76,2.23,6.06,72.0,10.43,251.0,0.0,1.7,0.0,27.3792,9.5956,5.5752,69.0,2.0516,66.24,230.92,1.564,0.0,0.0
"White beans, from dried, fat added",Quantity not specified,92.0,84.0,23.32,3.45,6.83,59.0,9.04,221.0,0.0,0.0,0.0,21.4544,8.316799999999999,6.2836,77.28,3.1740000000000004,54.28,203.32,0.0,0.0,0.0
"White beans, from dried, no added fat","1 oz dry, yield after cooking",70.0,90.0,24.94,3.68,0.35,63.0,9.67,237.0,0.0,0.0,0.0,17.458000000000002,6.769,0.245,63.0,2.576,44.1,165.9,0.0,0.0,0.0
White chocolate candy,1 large/king size,90.0,199.0,59.24,0.24,32.09,12.0,5.87,90.0,9.0,0.5,0.0,53.316,5.2829999999999995,28.881000000000004,179.1,0.21599999999999997,10.8,81.0,0.45,0.0,8.1
"White pizza, cheese, thick crust","1 large pizza (13-15"" diameter)",1112.0,238.0,31.82,2.23,11.41,24.0,11.8,541.0,58.0,0.1,0.1,353.83840000000004,131.216,126.8792,2646.56,24.7976,266.88,6015.92,1.112,1.112,644.96
"White pizza, cheese, thin crust","1 piece, large pizza",92.0,272.0,27.58,1.91,13.66,24.0,12.4,521.0,73.0,0.1,0.1,25.373599999999996,11.408,12.5672,250.24,1.7572,22.08,479.32,0.09200000000000001,0.09200000000000001,67.16
"White pizza, cheese, with meat and vegetables, thick crust","1 piece, extra-large pizza",161.0,184.0,25.31,1.91,13.34,22.0,11.67,559.0,47.0,3.7,0.2,40.7491,18.7887,21.4774,296.24,3.0751,35.42,899.99,5.957000000000001,0.322,75.67
"White pizza, cheese, with meat and vegetables, thin crust","1 piece, small pizza",81.0,199.0,21.06,1.62,15.31,21.0,12.07,548.0,56.0,4.4,0.3,17.0586,9.7767,12.401100000000001,161.19,1.3122,17.01,443.88,3.5640000000000005,0.243,45.36
"White pizza, cheese, with meat, thick crust","1 piece, NFS",154.0,203.0,27.2,2.09,14.8,23.0,12.84,621.0,51.0,0.1,0.3,41.888000000000005,19.7736,22.792,312.62,3.2185999999999995,35.42,956.34,0.154,0.46199999999999997,78.54
"White pizza, cheese, with meat, thin crust","1 medium pizza (11-12"" diameter)",571.0,224.0,22.77,1.8,17.36,23.0,13.56,622.0,62.0,0.1,0.3,130.01670000000001,77.4276,99.12559999999999,1279.04,10.277999999999999,131.33,3551.62,0.5710000000000001,1.7129999999999999,354.02
"White pizza, cheese, with vegetables, thick crust","1 piece, medium pizza",111.0,205.0,27.82,2.24,10.14,22.0,10.02,492.0,50.0,4.1,0.1,30.8802,11.1222,11.2554,227.55,2.4864,24.42,546.12,4.550999999999999,0.11100000000000002,55.5
"White pizza, cheese, with vegetables, thin crust","1 extra-large pizza (16-18"" diameter)",1218.0,226.0,23.59,1.99,11.68,21.0,10.13,466.0,61.0,4.9,0.1,287.3262,123.3834,142.26239999999999,2752.68,24.238200000000003,255.78,5675.88,59.68200000000001,1.2180000000000002,742.98
White sauce or gravy,1 cup,240.0,121.0,9.21,0.34,10.2,13.0,3.84,323.0,138.0,0.1,1.2,22.104,9.216,24.48,290.4,0.8160000000000001,31.2,775.2,0.24,2.88,331.2
"Whole wheat cereal, cooked",Quantity not specified,240.0,9.0,10.39,0.44,0.28,18.0,1.55,71.0,0.0,0.0,0.0,24.936000000000003,3.72,0.672,21.6,1.056,43.2,170.4,0.0,0.0,0.0
Whopper (Burger King),1 hamburger,270.0,46.0,17.33,2.99,12.37,18.0,11.34,342.0,9.0,0.9,0.1,46.791,30.618000000000002,33.398999999999994,124.2,8.073,48.6,923.4,2.43,0.27,24.3
Whopper Jr (Burger King),Quantity not specified,135.0,64.0,21.14,2.09,9.58,18.0,10.73,315.0,9.0,2.9,0.1,28.539,14.4855,12.933,86.4,2.8215,24.3,425.25,3.915,0.135,12.15
Whopper Jr with cheese (Burger King),1 cheeseburger,155.0,175.0,19.0,1.87,12.09,19.0,12.02,407.0,44.0,2.6,0.5,29.45,18.631,18.7395,271.25,2.8985000000000003,29.45,630.85,4.03,0.775,68.2
Whopper with cheese (Burger King),Quantity not specified,290.0,73.0,17.73,2.3,15.8,18.0,13.69,473.0,50.0,1.1,0.1,51.417,39.701,45.82,211.7,6.67,52.2,1371.7,3.19,0.29,145.0
Wild pig,Quantity not specified,85.0,16.0,0.0,1.11,4.34,27.0,28.08,367.0,0.0,0.0,0.0,0.0,23.868,3.6889999999999996,13.6,0.9435000000000001,22.95,311.95,0.0,0.0,0.0
Wine cooler,1 glass,135.0,4.0,10.07,0.03,0.0,4.0,0.0,5.0,0.0,2.8,0.0,13.5945,0.0,0.0,5.4,0.0405,5.4,6.75,3.78,0.0,0.0
Wine spritzer,1 fl oz,30.0,7.0,1.62,0.22,0.0,7.0,0.04,11.0,0.0,0.0,0.0,0.486,0.012,0.0,2.1,0.066,2.1,3.3,0.0,0.0,0.0
"Wine, dessert, sweet",1 fl oz,30.0,8.0,13.69,0.24,0.0,9.0,0.2,9.0,0.0,0.0,0.0,4.107,0.06,0.0,2.4,0.072,2.7,2.7,0.0,0.0,0.0
"Wine, light",1 fl oz,30.0,9.0,1.17,0.4,0.0,10.0,0.07,7.0,0.0,0.0,0.0,0.3509999999999999,0.021,0.0,2.7,0.12,3.0,2.1,0.0,0.0,0.0
"Wine, nonalcoholic",1 glass,180.0,9.0,1.1,0.4,0.0,10.0,0.5,7.0,0.0,0.0,0.0,1.9800000000000002,0.9,0.0,16.2,0.72,18.0,12.6,0.0,0.0,0.0
"Wine, red",1/2 bottle,375.0,8.0,2.61,0.46,0.0,12.0,0.07,4.0,0.0,0.0,0.0,9.7875,0.2625,0.0,30.0,1.725,45.0,15.0,0.0,0.0,0.0
"Wine, rice",1 fl oz,30.0,5.0,5.0,0.1,0.0,6.0,0.5,2.0,0.0,0.0,0.0,1.5,0.15,0.0,1.5,0.03,1.8,0.6,0.0,0.0,0.0
"Wine, rose",1 fl oz,30.0,10.0,3.8,0.2,0.0,10.0,0.36,5.0,0.0,0.0,0.0,1.14,0.10799999999999998,0.0,3.0,0.06,3.0,1.5,0.0,0.0,0.0
"Wine, sparkling",1 glass,180.0,9.0,2.31,0.3,0.0,10.0,0.07,5.0,0.0,0.0,0.0,4.158,0.126,0.0,16.2,0.54,18.0,9.0,0.0,0.0,0.0
"Wine, white",Quantity not specified,180.0,9.0,2.6,0.27,0.0,10.0,0.07,5.0,0.0,0.0,0.0,4.68,0.126,0.0,16.2,0.486,18.0,9.0,0.0,0.0,0.0
"Winter melon, cooked",Quantity not specified,88.0,18.0,2.95,0.37,2.74,10.0,0.4,225.0,11.0,10.2,0.0,2.596,0.35200000000000004,2.4112,15.84,0.3256,8.8,198.0,8.975999999999999,0.0,9.68
"Winter squash, cooked, fat added",Quantity not specified,115.0,22.0,8.57,0.43,2.88,13.0,0.87,122.0,264.0,9.3,0.0,9.855500000000001,1.0005,3.312,25.3,0.49449999999999994,14.95,140.3,10.695,0.0,303.6
"Winter squash, cooked, no added fat",1 cup,225.0,22.0,8.82,0.44,0.35,13.0,0.89,117.0,260.0,9.6,0.0,19.845,2.0025,0.7875,49.5,0.99,29.25,263.25,21.6,0.0,585.0
"Winter squash, raw",1 cup,140.0,21.0,6.5,0.8,0.1,12.0,1.0,1.0,426.0,9.0,0.0,9.1,1.4,0.14,29.4,1.12,16.8,1.4,12.6,0.0,596.4
"Wonton, dumpling or pot sticker, fried","1 item, any size",25.0,30.0,14.05,0.79,11.13,22.0,8.76,467.0,5.0,8.8,0.2,3.5125,2.19,2.7825,7.5,0.1975,5.5,116.75,2.2,0.05,1.25
"Wonton, dumpling or pot sticker, fried, no meat",1 cup,75.0,30.0,14.05,0.79,11.13,22.0,8.76,467.0,4.0,7.0,0.2,10.5375,6.57,8.347500000000002,22.5,0.5925,16.5,350.25,5.25,0.15,3.0
"Wonton, dumpling or pot sticker, steamed",1 cup,75.0,23.0,11.07,0.62,4.6,18.0,6.9,368.0,4.0,6.9,0.2,8.3025,5.175,3.45,17.25,0.465,13.5,276.0,5.175,0.15,3.0
Worcestershire sauce,Quantity not specified,5.0,107.0,19.17,5.3,0.0,13.0,0.0,1300.0,5.0,13.0,0.0,0.9585000000000001,0.0,0.0,5.35,0.265,0.65,65.0,0.65,0.0,0.25
"Yat Ga Mein with meat, fish, or poultry",Quantity not specified,205.0,19.0,11.16,1.49,5.57,14.0,10.36,354.0,9.0,4.3,0.1,22.878,21.237999999999996,11.418500000000002,38.95,3.0545,28.7,725.7,8.815,0.205,18.45
Yeast,Quantity not specified,12.0,30.0,41.22,2.17,7.61,54.0,40.44,51.0,0.0,0.3,0.0,4.9464,4.852799999999999,0.9132000000000001,3.6,0.26039999999999996,6.48,6.12,0.036,0.0,0.0
Yeast extract spread,Quantity not specified,9.0,67.0,20.42,4.04,0.9,180.0,23.88,3380.0,0.0,0.0,0.0,1.8378000000000003,2.1492,0.081,6.03,0.3636,16.2,304.2,0.0,0.0,0.0
"Yellow rice, cooked, NS as to fat","1 cup, cooked",158.0,12.0,19.1,0.62,0.45,30.0,1.8,340.0,2.0,0.0,0.0,30.178,2.8440000000000003,0.7110000000000001,18.96,0.9795999999999999,47.4,537.2,0.0,0.0,3.16
